2025-07-22T17:10:56.666733Z  INFO dora_cli::command::daemon: Starting dataflow `dataflow.yml`
2025-07-22T17:10:56.667062Z  INFO dora_core::descriptor::validate: skipping path check for node with build command
2025-07-22T17:10:56.667070Z  INFO dora_core::descriptor::validate: skipping path check for node with build command
2025-07-22T17:10:56.667075Z  INFO dora_core::descriptor::validate: skipping path check for node with build command
2025-07-22T17:10:56.667080Z  INFO dora_core::descriptor::validate: skipping path check for node with build command
2025-07-22T17:10:56.667770Z  INFO zenoh::net::runtime: Using ZID: ae2b5a8c35e2ebe6b62a227e2fcda4f3
2025-07-22T17:10:56.668262Z  INFO zenoh::net::runtime::orchestrator: Zenoh can be reached at: tcp/[fe80::6cd9:92ff:fe20:2a36]:38447
2025-07-22T17:10:56.668272Z  INFO zenoh::net::runtime::orchestrator: Zenoh can be reached at: tcp/10.89.0.2:38447
2025-07-22T17:10:56.668293Z  INFO zenoh::net::runtime::orchestrator: zenohd listening scout messages on 224.0.0.224:7446
2025-07-22T17:10:57.173289Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: 7f2746a4-d2cc-4e11-9489-60c2fc4ccdbe }}: dora_daemon::log:    node is ready build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink") target="daemon"
2025-07-22T17:10:57.173407Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: 7f2746a4-d2cc-4e11-9489-60c2fc4ccdbe }}: dora_daemon::log:    node is ready build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-status-node") target="daemon"
2025-07-22T17:10:57.173932Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: 7f2746a4-d2cc-4e11-9489-60c2fc4ccdbe }}: dora_daemon::log:    node is ready build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("dora-record") target="daemon"
2025-07-22T17:10:57.173947Z  INFO run_inner{[3mself.daemon_id[0m[2m=[0mDaemonId { machine_id: None, uuid: 7f2746a4-d2cc-4e11-9489-60c2fc4ccdbe }}: dora_daemon::log:    all nodes are ready, starting dataflow build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=None target="daemon"
2025-07-22T17:10:57.177448Z  INFO dora_daemon::log:    sink received message: operator received random value 0xbfabcdf6b587126a after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.196849Z  INFO dora_daemon::log:    tick 0, sending 0xbfabcdf6b587126a build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.196862Z  INFO dora_daemon::log:    sink received message: operator received random value 0x5ea3c664f7c8931e after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.200710Z  INFO dora_daemon::log:    tick 1, sending 0x5ea3c664f7c8931e build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.200724Z  INFO dora_daemon::log:    sink received message: operator received random value 0x771ea36924b1c8b after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.202665Z  INFO dora_daemon::log:    tick 2, sending 0x771ea36924b1c8b build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.206420Z  INFO dora_daemon::log:    tick 3, sending 0xdad047ff9f38c023 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.207913Z  INFO dora_daemon::log:    sink received message: operator received random value 0xdad047ff9f38c023 after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.216388Z  INFO dora_daemon::log:    tick 4, sending 0xaa8ec6fd2384ec0e build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.217845Z  INFO dora_daemon::log:    sink received message: operator received random value 0xaa8ec6fd2384ec0e after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.225907Z  INFO dora_daemon::log:    tick 5, sending 0x142a667207819327 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.227473Z  INFO dora_daemon::log:    sink received message: operator received random value 0x142a667207819327 after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.236553Z  INFO dora_daemon::log:    tick 6, sending 0x5874a957c691d3e3 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.238041Z  INFO dora_daemon::log:    sink received message: operator received random value 0x5874a957c691d3e3 after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.246452Z  INFO dora_daemon::log:    tick 7, sending 0x7fadc4822c3540ac build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.248763Z  INFO dora_daemon::log:    sink received message: operator received random value 0x7fadc4822c3540ac after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.256469Z  INFO dora_daemon::log:    tick 8, sending 0xaae372ab4e3ad1d9 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.257902Z  INFO dora_daemon::log:    sink received message: operator received random value 0xaae372ab4e3ad1d9 after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.266378Z  INFO dora_daemon::log:    tick 9, sending 0xdc1ae29c60ebe625 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.267965Z  INFO dora_daemon::log:    sink received message: operator received random value 0xdc1ae29c60ebe625 after 1 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.276464Z  INFO dora_daemon::log:    tick 10, sending 0x3d53a1a850ec326c build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.278003Z  INFO dora_daemon::log:    sink received message: operator received random value 0x3d53a1a850ec326c after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.286525Z  INFO dora_daemon::log:    tick 11, sending 0x86e112846a580dbd build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.288083Z  INFO dora_daemon::log:    sink received message: operator received random value 0x86e112846a580dbd after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.297263Z  INFO dora_daemon::log:    tick 12, sending 0x32223ecec1334b06 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.298753Z  INFO dora_daemon::log:    sink received message: operator received random value 0x32223ecec1334b06 after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.306307Z  INFO dora_daemon::log:    tick 13, sending 0x73148d15d9610601 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.307771Z  INFO dora_daemon::log:    sink received message: operator received random value 0x73148d15d9610601 after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.316442Z  INFO dora_daemon::log:    tick 14, sending 0xdf9bf022a1c99614 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.317909Z  INFO dora_daemon::log:    sink received message: operator received random value 0xdf9bf022a1c99614 after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.326291Z  INFO dora_daemon::log:    tick 15, sending 0xeaf998aa4857185 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.327811Z  INFO dora_daemon::log:    sink received message: operator received random value 0xeaf998aa4857185 after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.336469Z  INFO dora_daemon::log:    tick 16, sending 0xe791a555b366d9ed build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.337992Z  INFO dora_daemon::log:    sink received message: operator received random value 0xe791a555b366d9ed after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.346380Z  INFO dora_daemon::log:    tick 17, sending 0xf97afb23dedfa9e1 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.347878Z  INFO dora_daemon::log:    sink received message: operator received random value 0xf97afb23dedfa9e1 after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.356501Z  INFO dora_daemon::log:    tick 18, sending 0xb8d012e1e06dde4a build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.357981Z  INFO dora_daemon::log:    sink received message: operator received random value 0xb8d012e1e06dde4a after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.367308Z  INFO dora_daemon::log:    tick 19, sending 0x2bc2593caa4ac160 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.368837Z  INFO dora_daemon::log:    sink received message: operator received random value 0x2bc2593caa4ac160 after 2 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.376375Z  INFO dora_daemon::log:    tick 20, sending 0x27d37993bd32d039 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.377761Z  INFO dora_daemon::log:    sink received message: operator received random value 0x27d37993bd32d039 after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.386402Z  INFO dora_daemon::log:    tick 21, sending 0x75854b5b681e09b6 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.387926Z  INFO dora_daemon::log:    sink received message: operator received random value 0x75854b5b681e09b6 after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.396398Z  INFO dora_daemon::log:    tick 22, sending 0x203e5ee0b25916cb build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.398072Z  INFO dora_daemon::log:    sink received message: operator received random value 0x203e5ee0b25916cb after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.406427Z  INFO dora_daemon::log:    tick 23, sending 0x999a77234840f6db build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.407909Z  INFO dora_daemon::log:    sink received message: operator received random value 0x999a77234840f6db after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.416438Z  INFO dora_daemon::log:    tick 24, sending 0xb95ac14f74cd32e7 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.417890Z  INFO dora_daemon::log:    sink received message: operator received random value 0xb95ac14f74cd32e7 after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.426293Z  INFO dora_daemon::log:    tick 25, sending 0x999299479dfa68cc build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.427932Z  INFO dora_daemon::log:    sink received message: operator received random value 0x999299479dfa68cc after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.436196Z  INFO dora_daemon::log:    tick 26, sending 0x9ca9d0d91ccaf55d build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.437749Z  INFO dora_daemon::log:    sink received message: operator received random value 0x9ca9d0d91ccaf55d after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.446480Z  INFO dora_daemon::log:    tick 27, sending 0xb6719839203283b7 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.448038Z  INFO dora_daemon::log:    sink received message: operator received random value 0xb6719839203283b7 after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.456291Z  INFO dora_daemon::log:    tick 28, sending 0x73112264e735a82a build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.457709Z  INFO dora_daemon::log:    sink received message: operator received random value 0x73112264e735a82a after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.466440Z  INFO dora_daemon::log:    tick 29, sending 0x916e804e04b5cf27 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.467947Z  INFO dora_daemon::log:    sink received message: operator received random value 0x916e804e04b5cf27 after 3 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.476275Z  INFO dora_daemon::log:    tick 30, sending 0x41e9d61b71ba6145 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.477622Z  INFO dora_daemon::log:    sink received message: operator received random value 0x41e9d61b71ba6145 after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.486612Z  INFO dora_daemon::log:    tick 31, sending 0xfa4a68aecff6dead build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.488015Z  INFO dora_daemon::log:    sink received message: operator received random value 0xfa4a68aecff6dead after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.496619Z  INFO dora_daemon::log:    tick 32, sending 0x919281f0ca6f4c39 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.498029Z  INFO dora_daemon::log:    sink received message: operator received random value 0x919281f0ca6f4c39 after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.506499Z  INFO dora_daemon::log:    tick 33, sending 0x34320856c8d02b98 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.508021Z  INFO dora_daemon::log:    sink received message: operator received random value 0x34320856c8d02b98 after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.516424Z  INFO dora_daemon::log:    tick 34, sending 0xd3173c0afee1a062 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.517981Z  INFO dora_daemon::log:    sink received message: operator received random value 0xd3173c0afee1a062 after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.527171Z  INFO dora_daemon::log:    tick 35, sending 0xc5e045c8918fa25a build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.528484Z  INFO dora_daemon::log:    sink received message: operator received random value 0xc5e045c8918fa25a after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.537349Z  INFO dora_daemon::log:    tick 36, sending 0x35a837862ae6863b build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.538888Z  INFO dora_daemon::log:    sink received message: operator received random value 0x35a837862ae6863b after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.546396Z  INFO dora_daemon::log:    tick 37, sending 0xa7aae2d46cd47bc4 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.547848Z  INFO dora_daemon::log:    sink received message: operator received random value 0xa7aae2d46cd47bc4 after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.556579Z  INFO dora_daemon::log:    tick 38, sending 0xa0ff5f9019f0c620 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.557958Z  INFO dora_daemon::log:    sink received message: operator received random value 0xa0ff5f9019f0c620 after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.566534Z  INFO dora_daemon::log:    tick 39, sending 0x56dc6315c2456ea8 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.568348Z  INFO dora_daemon::log:    sink received message: operator received random value 0x56dc6315c2456ea8 after 4 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.576531Z  INFO dora_daemon::log:    tick 40, sending 0x5210c032c1c69a3a build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.577996Z  INFO dora_daemon::log:    sink received message: operator received random value 0x5210c032c1c69a3a after 5 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.587069Z  INFO dora_daemon::log:    tick 41, sending 0x4ce200fc77321fc2 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.588496Z  INFO dora_daemon::log:    sink received message: operator received random value 0x4ce200fc77321fc2 after 5 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.596374Z  INFO dora_daemon::log:    tick 42, sending 0x9f9be317b9ed051f build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.597830Z  INFO dora_daemon::log:    sink received message: operator received random value 0x9f9be317b9ed051f after 5 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.606456Z  INFO dora_daemon::log:    tick 43, sending 0xa6ef144a8461fd33 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.608029Z  INFO dora_daemon::log:    sink received message: operator received random value 0xa6ef144a8461fd33 after 5 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.616429Z  INFO dora_daemon::log:    tick 44, sending 0x908566ba49dfe811 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.617995Z  INFO dora_daemon::log:    sink received message: operator received random value 0x908566ba49dfe811 after 5 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.626428Z  INFO dora_daemon::log:    tick 45, sending 0x3ff83a0dc84d23e1 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.627938Z  INFO dora_daemon::log:    sink received message: operator received random value 0x3ff83a0dc84d23e1 after 5 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.637419Z  INFO dora_daemon::log:    tick 46, sending 0x936dd317b86eed83 build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
2025-07-22T17:10:57.638776Z  INFO dora_daemon::log:    sink received message: operator received random value 0x936dd317b86eed83 after 5 ticks build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-sink")
2025-07-22T17:10:57.646283Z  INFO dora_daemon::log:    tick 47, sending 0xdacde4a8b073a3fc build_id=None dataflow_id=Some("0198331d-ef9b-7b33-920c-51a15bb09d0e") node_id=Some("rust-node")
